iter	Passed	Remaining
635	21321	12202
636	21350	12166
637	21394	12139
638	21429	12106
639	21470	12077
640	21504	12043
641	21534	12008
642	21569	11975
643	21599	11940
644	21629	11904
645	21662	11870
646	21690	11834
647	21726	11802
648	21762	11769
649	21796	11736
650	21826	11701
651	21856	11665
652	21892	11633
653	21924	11599
654	21953	11563
655	21987	11530
656	22013	11492
657	22040	11455
658	22071	11420
659	22105	11387
660	22135	11352
661	22170	11319
662	22201	11284
663	22235	11251
664	22263	11215
665	22295	11181
666	22325	11145
667	22353	11109
668	22386	11076
669	22416	11040
670	22449	11007
671	22481	10973
672	22508	10936
673	22552	10907
674	22580	10872
675	22609	10836
676	22642	10802
677	22679	10770
678	22712	10737
679	22740	10701
680	22777	10669
681	22811	10636
682	22845	10603
683	22873	10567
684	22908	10534
685	22940	10500
686	22979	10469
687	23006	10433
688	23035	10397
689	23072	10365
690	23106	10332
691	23144	10301
692	23179	10268
693	23219	10237
694	23255	10205
695	23297	10175
696	23332	10143
697	23361	10107
698	23397	10075
699	23431	10042
700	23461	10007
701	23493	9973
702	23525	9939
703	23560	9906
704	23592	9872
705	23625	9838
706	23659	9805
707	23692	9771
708	23718	9734
709	23752	9701
710	23788	9669
711	23824	9636
712	23855	9602
713	23893	9570
714	23929	9538
715	23959	9503
716	23993	9470
717	24021	9434
718	24052	9400
719	24085	9366
720	24114	9331
721	24153	9300
722	24180	9264
723	24208	9228
724	24239	9194
725	24269	9159
726	24303	9126
727	24334	9091
728	24364	9057
729	24399	9024
730	24430	8990
731	24465	8957
732	24501	8924
733	24537	8892
734	24566	8857
735	24599	8823
736	24636	8791
737	24672	8758
738	24700	8723
739	24726	8687
740	24760	8654
741	24789	8619
742	24825	8586
743	24856	8552
744	24896	8521
745	24926	8487
746	24960	8453
747	24993	8420
748	25020	8384
749	25058	8352
750	25098	8321
751	25131	8288
752	25161	8253
753	25202	8222
754	25238	8189
755	25275	8157
756	25314	8125
757	25347	8092
758	25377	8057
759	25411	8024
760	25447	7991
761	25477	7957
762	25506	7922
763	25540	7889
764	25571	7855
765	25602	7821
766	25631	7786
767	25677	7756
768	25706	7721
769	25740	7688
770	25774	7655
771	25806	7621
772	25835	7586
773	25870	7553
774	25898	7518
775	25928	7484
776	25959	7450
777	25996	7418
778	26029	7384
779	26062	7350
780	26094	7317
781	26124	7282
782	26157	7249
783	26192	7216
784	26225	7182
785	26259	7149
786	26292	7116
787	26329	7083
788	26361	7049
789	26397	7017
790	26427	6982
791	26458	6948
792	26492	6915
793	26527	6882
794	26558	6848
795	26588	6814
796	26622	6780
797	26655	6747
798	26688	6713
799	26722	6680
800	26754	6646
801	26791	6614
802	26822	6580
803	26855	6546
804	26890	6513
805	26916	6478
806	26950	6445
807	26984	6412
808	27017	6378
809	27046	6344
810	27077	6310
811	27108	6276
812	27139	6242
813	27169	6208
814	27204	6175
815	27238	6142
816	27270	6108
817	27300	6074
818	27326	6039
819	27359	6005
820	27390	5971
821	27419	5937
822	27450	5903
823	27488	5871
824	27518	5837
825	27547	5802
826	27574	5768
827	27605	5734
828	27640	5701
829	27675	5668
830	27714	5636
831	27749	5603
832	27775	5568
833	27805	5534
834	27836	5500
835	27863	5466
836	27902	5433
837	27935	5400
838	27962	5365
839	27995	5332
840	28032	5299
841	28064	5266
842	28090	5231
843	28125	5198
844	28158	5165
845	28193	5132
846	28227	5098
847	28260	5065
848	28292	5031
849	28325	4998
850	28361	4965
851	28388	4931
852	28426	4898
853	28457	4865
854	28493	4832
855	28524	4798
856	28554	4764
857	28581	4730
858	28609	4696
859	28646	4663
860	28676	4629
861	28709	4596
862	28738	4562
863	28772	4528
864	28803	4495
865	28842	4462
866	28877	4429
867	28908	4396
868	28942	4363
869	28969	4328
870	29005	4295
871	29036	4262
872	29068	4228
873	29106	4196
874	29146	4163
875	29178	4130
876	29209	4096
877	29240	4063
878	29273	4029
879	29307	3996
880	29342	3963
881	29377	3930
882	29417	3897
883	29449	3864
884	29482	3831
885	29519	3798
886	29550	3764
887	29580	3730
888	29617	3697
889	29663	3666
890	29705	3633
891	29752	3602
892	29788	3569
893	29820	3535
894	29851	3502
895	29887	3469
896	29918	3435
897	29951	3402
898	29987	3368
899	30018	3335
900	30045	3301
901	30077	3267
902	30107	3234
903	30135	3200
904	30166	3166
905	30194	3132
906	30226	3099
907	30258	3065
908	30290	3032
909	30322	2998
910	30359	2966
911	30391	2932
912	30424	2899
913	30451	2865
914	30488	2832
915	30522	2799
916	30555	2765
917	30585	2732
918	30618	2698
919	30655	2665
920	30695	2632
921	30737	2600
922	30768	2566
923	30800	2533
924	30835	2500
925	30865	2466
926	30898	2433
927	30933	2399
928	30963	2366
929	30996	2333
930	31025	2299
931	31063	2266
932	31095	2233
933	31126	2199
934	31157	2166
935	31183	2132
936	31218	2099
937	31247	2065
938	31274	2031
939	31310	1998
940	31338	1964
941	31367	1931
942	31410	1898
943	31447	1865
944	31481	1832
945	31517	1799
946	31552	1765
947	31585	1732
948	31617	1699
949	31648	1665
950	31680	1632
951	31710	1598
952	31738	1565
953	31770	1531
954	31803	1498
955	31839	1465
956	31876	1432
957	31910	1399
958	31940	1365
959	31969	1332
960	32006	1298
961	32040	1265
962	32071	1232
963	32101	1198
964	32132	1165
965	32165	1132
966	32206	1099
967	32244	1065
968	32281	1032
969	32317	999
970	32353	966
971	32386	932
972	32412	899
973	32446	866
974	32476	832
975	32505	799
976	32542	766
977	32577	732
978	32610	699
979	32649	666
980	32682	632
981	32713	599
982	32747	566
983	32785	533
984	32819	499
985	32849	466
986	32885	433
987	32921	399
988	32956	366
989	32988	333
990	33020	299
991	33050	266
992	33083	233
993	33119	199
994	33146	166
995	33175	133
996	33211	99
997	33249	66
998	33281	33
999	33322	0
